mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2257444171734326329,740000,9809 Waverly Avenue,OKLAHOMA CITY,OK,73120,100,180000,,2023-06-02,False
-2257444158824902315,740000,9401 Stratford Drive,OKLAHOMA CITY,OK,73120,100,304900,,2023-06-02,False
-2257151927861039673,811000,986 Camino Drive,SANTA CLARA,CA,95050,100,1350000,,2023-06-02,False
-2255130310563590236,539000,15 Phillips Road,HYANNIS,MA,02601,100,379000,,2023-06-02,False
-2255130310563327833,539000,110 Bacon Road,HYANNIS,MA,02601,100,629000,,2023-06-02,False
-2254417776486226862,881000,6 Strawberry Ln,OLD LYME,CT,06371,1300,635000,,2023-06-02,False
-2252159463527212472,881000,46 Boughton Rd,OLD LYME,CT,06371,1300,329900,,2023-06-02,False
-2248951605613273854,862000,3183 Canyon Drive,REDMOND,OR,97756,100,774900,,2023-06-02,False
-2248951601310569840,862000,3809 Cascade Vista Drive,REDMOND,OR,97756,100,699000,,2023-06-02,False
-2248353780737915658,208000,2723 WESTMOOR ST,SOUTH BEND,IN,46628,300,86900,,2023-06-02,False
-2248353780737915657,208000,1725 COLLEGE ST,SOUTH BEND,IN,46628,300,76900,,2023-06-02,False
-2246535012044430735,486000,3335 Genoa Way #113,OCEANSIDE,CA,92056,200,580000,,2023-06-02,False
-2244971400233365948,818000,6492 Hunters Green Circle,INDIANAPOLIS,IN,46278,100,289900,,2023-06-02,False
-2244056251999523976,208000,9280 LAKEWOOD DR NE,MINERAL CITY,OH,44656,100,335000,2023-06-02,2023-06-02,True
-2243480250389949286,814000,23005 York Ave,PARKER,CO,80138,100,659000,,2023-06-02,False
-2240802383693969470,229000,138 Springside Dr,LUTHERVILLE TIMONIUM,MD,21093,100,433000,,2023-06-02,False
-2239523288424880201,611000,2396 Michigan Ave,SUN PRAIRIE,WI,53590,100,559900,,2023-06-02,False
-2239523275515456187,611000,2521 Bailey Rd,SUN PRAIRIE,WI,53590,100,475000,,2023-06-02,False
-2238851937773213646,369000,421 Century Lane,CAMERON,NC,28326,100,271900,,2023-06-02,False
-2236524141481673568,208000,,GREAT FALLS,MT,59405,200,359400,,2023-06-02,False
-2236127375942884530,347000,400 Creekside Dr,LEWISBURG,TN,37091,100,499900,,2023-06-02,False
-2235845097043684525,347000,535 2nd Ave N All,LEWISBURG,TN,37091,100,350000,,2023-06-02,False
-2235845071223983725,347000,4658 Cook Ln,LEWISBURG,TN,37091,100,1900000,,2023-06-02,False
-2235505678083972001,229000,19827 Pennybacker Bridge,CYPRESS,TX,77433,1400,449000,,2023-06-02,False
-2234548834668148679,531000,715 Jackson Street,MCCRORY,AR,72101,100,175000,,2023-06-02,False
-2232759197500731254,756000,3912 Sweeten Creek Road,CHAPEL HILL,NC,27514,100,875000,,2023-06-02,False
-2231912322072825646,756000,203 N Estes Drive,CHAPEL HILL,NC,27514,100,500000,,2023-06-02,False
-2231630043173232051,756000,1805 Rolling Road,CHAPEL HILL,NC,27514,100,519000,,2023-06-02,False
-2231630034566971247,756000,104 Carriage Circle,CHAPEL HILL,NC,27514,100,489000,,2023-06-02,False
-2231280442237297722,229000,3516 Ridgedale Ave,SAINT LOUIS COUNTY MID,MO,63121,100,44900,,2023-06-02,False
-2230574860941541418,229000,8670 Tourmaline Blvd,BOYNTON BEACH,FL,33472,100,518000,,2023-06-02,False
-2229901202825286458,442000,1220 N 1st Street,LANDER,WY,82520,100,295000,,2023-06-02,False
-2229631035792771846,727000,9135 E Marshall Street,TULSA,OK,74115,100,97550,,2023-06-02,False
-2229631022882823053,727000,147 N Richmond Avenue,TULSA,OK,74115,100,117500,,2023-06-02,False
-2228518550899472442,881000,12 Prospect St,PORTLAND,CT,06480,100,383000,,2023-06-02,False
-2227954001706480453,881000,15 Cross St,PORTLAND,CT,06480,100,259900,,2023-06-02,False
-2227954001706152454,881000,511 Penfield Hill Rd,PORTLAND,CT,06480,100,525000,,2023-06-02,False
-2227170124508782637,602000,3843 Barrington St,SAN ANTONIO,TX,78217,200,114999,,2023-06-02,False
-2225326635933861273,722000,224 Camelot Drive #224,ATLANTA,GA,30349,200,39000,,2023-06-02,False
-2224564037158971817,517000,2490 Bird Lane,BATAVIA,IL,60510,100,775000,,2023-06-02,False
-2223999457843903015,517000,40 Cottonwood Circle,BATAVIA,IL,60510,100,399900,,2023-06-02,False
-2220773370979279364,686000,2800 Tuscanna Dr,RICHLAND,WA,99354,200,409900,,2023-06-02,False
-2219309213877906567,811000,2811 Centerwood Ct,SAN JOSE,CA,95148,100,1588888,,2023-06-02,False
-2219269793789089981,72000,7653 Haymaker Lane,CHERRY VALLEY,IL,61016,100,294950,,2023-06-02,False
-2219269789485795583,72000,305 ELGIN Street,CHERRY VALLEY,IL,61016,100,139900,,2023-06-02,False
-2219269785182829180,72000,3365 VALLEY WOODS Drive,CHERRY VALLEY,IL,61016,100,399999,,2023-06-02,False
-2219269772273077180,72000,7550 DENRICK Drive,CHERRY VALLEY,IL,61016,100,133900,,2023-06-02,False
-2219269772272880385,72000,218 Walnut Street,CHERRY VALLEY,IL,61016,100,165000,,2023-06-02,False
